fix_time,mean_snr,max_snr,var_snr,hdop,pdop,tracked_satellites,fix_quality,delta_mean_snr,rolling_var_snr,spoof_flag_raw,known_spoof_window
26.8,46.691,52.192,25.991,1.5,1.5,14,2,0.0,0.0,0,0
27.0,46.675,52.191,26.275,1.5,1.5,14,2,-0.017,0.0,0,0
27.2,46.662,52.18,26.32,1.5,1.5,14,2,-0.013,0.0,0,0
27.4,46.664,52.202,26.476,1.5,1.5,14,2,0.002,0.0,0,0
27.6,46.67,52.204,26.379,1.5,1.5,14,2,0.006,0.0,0,0
27.8,46.663,52.209,26.495,1.5,1.5,14,2,-0.007,0.0,0,0
28.0,46.661,52.205,26.392,1.5,1.5,14,2,-0.002,0.0,0,0
28.2,46.672,52.203,26.317,1.5,1.5,14,2,0.011,0.0,0,0
28.4,46.682,52.208,26.19,1.5,1.5,14,2,0.01,0.0,0,0
28.6,46.685,52.205,26.041,1.5,1.5,14,2,0.003,0.0,0,0
28.8,46.684,52.208,26.131,1.5,1.5,14,2,-0.001,0.0,0,0
29.0,46.688,52.198,26.003,1.5,1.5,14,2,0.004,0.0,0,0
29.2,46.686,52.191,26.106,1.5,1.5,14,2,-0.001,0.0,0,0
29.4,46.681,52.194,26.166,1.5,1.5,14,2,-0.006,0.0,0,0
29.6,46.678,52.194,26.09,1.5,1.5,14,2,-0.003,0.0,0,0
29.8,46.682,52.197,26.115,1.5,1.5,14,2,0.004,0.0,0,0
30.0,46.693,52.187,25.866,1.5,1.5,14,2,0.011,0.0,0,0
30.2,46.692,52.178,25.952,1.5,1.5,14,2,-0.001,0.0,0,0
30.4,46.684,52.172,26.02,1.5,1.5,14,2,-0.007,0.0,0,0
30.6,46.681,52.166,26.106,1.5,1.5,14,2,-0.003,0.0,0,0
30.8,46.676,52.166,26.094,1.5,1.5,14,2,-0.006,0.0,0,0
31.0,46.67,52.18,26.199,1.5,1.5,14,2,-0.006,0.0,0,0
31.2,46.662,52.163,26.138,1.5,1.5,14,2,-0.008,0.0,0,0
31.4,46.637,52.148,26.198,1.5,1.5,14,2,-0.025,0.0,0,0
31.6,46.629,52.15,26.352,1.5,1.5,14,2,-0.008,0.0,0,0
31.8,46.627,52.145,26.371,1.5,1.5,14,2,-0.002,0.001,0,0
32.0,46.631,52.137,26.212,1.5,1.5,14,2,0.004,0.001,0,0
32.2,46.616,52.14,26.361,1.5,1.5,14,2,-0.015,0.001,0,0
32.4,46.603,52.137,26.418,1.5,1.5,14,2,-0.013,0.001,0,0
32.6,46.601,52.137,26.429,1.5,1.5,14,2,-0.001,0.001,0,0
32.8,46.604,52.134,26.337,1.5,1.5,14,2,0.002,0.001,0,0
33.0,46.607,52.133,26.113,1.5,1.5,14,2,0.003,0.0,0,0
33.2,46.619,52.13,26.032,1.5,1.5,14,2,0.012,0.0,0,0
33.4,46.617,52.113,25.825,1.5,1.5,14,2,-0.002,0.0,0,0
33.6,46.621,52.107,25.741,1.5,1.5,14,2,0.005,0.0,0,0
33.8,46.627,52.075,25.566,1.5,1.5,14,2,0.006,0.0,0,0
34.0,46.618,52.067,25.464,1.5,1.5,14,2,-0.009,0.0,0,0
34.2,46.62,52.051,25.349,1.5,1.5,14,2,0.002,0.0,0,0
34.4,46.634,52.025,25.08,1.5,1.5,14,2,0.014,0.0,0,0
34.6,46.647,52.013,24.82,1.5,1.5,14,2,0.012,0.0,0,0
34.8,46.649,52.003,24.691,1.5,1.5,14,2,0.002,0.0,0,0
35.0,46.642,51.992,24.635,1.5,1.5,14,2,-0.007,0.0,0,0
35.2,46.654,51.986,24.445,1.5,1.5,14,2,0.012,0.0,0,0
35.4,46.645,51.976,24.463,1.5,1.5,14,2,-0.008,0.0,0,0
35.6,46.646,51.953,24.49,1.5,1.5,14,2,0.0,0.0,0,0
35.8,46.651,51.943,24.476,1.5,1.5,14,2,0.005,0.0,0,0
36.0,46.652,51.928,24.478,1.5,1.5,14,2,0.001,0.0,0,0
36.2,46.653,51.912,24.246,1.5,1.5,14,2,0.001,0.0,0,0
36.4,46.653,51.904,24.16,1.5,1.5,14,2,0.0,0.0,0,0
36.6,46.669,51.885,23.983,1.5,1.5,14,2,0.016,0.0,0,0
36.8,46.679,51.883,23.863,1.5,1.5,14,2,0.01,0.0,0,0
37.0,46.667,51.867,23.817,1.5,1.5,14,2,-0.012,0.0,0,0
37.2,46.681,51.863,23.569,1.5,1.5,14,2,0.014,0.0,0,0
37.4,46.69,51.855,23.497,1.5,1.5,14,2,0.009,0.0,0,0
37.6,46.699,51.841,23.338,1.5,1.5,14,2,0.009,0.0,0,0
37.8,46.712,51.834,23.214,1.5,1.5,14,2,0.014,0.0,0,0
38.0,46.714,51.822,23.169,1.5,1.5,14,2,0.002,0.0,0,0
38.2,46.714,51.816,23.095,1.5,1.5,14,2,0.0,0.0,0,0
38.4,46.715,51.8,23.019,1.5,1.5,14,2,0.001,0.0,0,0
38.6,46.726,51.803,22.986,1.5,1.5,14,2,0.011,0.0,0,0
38.8,46.721,51.791,23.043,1.5,1.5,14,2,-0.005,0.0,0,0
39.0,46.717,51.789,23.025,1.5,1.5,14,2,-0.004,0.0,0,0
39.2,46.714,51.799,23.153,1.5,1.5,14,2,-0.003,0.0,0,0
39.4,46.719,51.805,23.195,1.5,1.5,14,2,0.005,0.0,0,0
39.6,46.721,51.802,23.22,1.5,1.5,14,2,0.002,0.0,0,0
39.8,46.718,51.807,23.281,1.5,1.5,14,2,-0.004,0.0,0,0
40.0,46.721,51.815,23.403,1.5,1.5,14,2,0.004,0.0,0,0
40.2,46.712,51.814,23.632,1.5,1.5,14,2,-0.009,0.0,0,0
40.4,46.697,51.808,23.866,1.5,1.5,14,2,-0.014,0.0,0,0
40.6,46.687,51.817,24.0,1.5,1.5,14,2,-0.011,0.0,0,0
40.8,46.678,51.84,24.151,1.5,1.5,14,2,-0.009,0.0,0,0
41.0,46.666,51.841,24.292,1.5,1.5,14,2,-0.012,0.0,0,0
41.2,46.659,51.854,24.564,1.5,1.5,14,2,-0.008,0.001,0,0
41.4,46.666,51.862,24.508,1.5,1.5,14,2,0.007,0.001,0,0
41.6,46.658,51.873,24.723,1.5,1.5,14,2,-0.008,0.001,0,0
41.8,46.66,51.879,24.643,1.5,1.5,14,2,0.002,0.0,0,0
42.0,46.643,51.891,24.8,1.5,1.5,14,2,-0.017,0.0,0,0
42.2,46.646,51.904,24.908,1.5,1.5,14,2,0.003,0.0,0,0
42.4,46.642,51.914,24.936,1.5,1.5,14,2,-0.004,0.0,0,0
42.6,46.639,51.92,24.984,1.5,1.5,14,2,-0.004,0.0,0,0
42.8,46.63,51.921,25.028,1.5,1.5,14,2,-0.009,0.0,0,0
43.0,46.622,51.923,25.165,1.5,1.5,14,2,-0.007,0.0,0,0
43.2,46.634,51.932,25.048,1.5,1.5,14,2,0.011,0.0,0,0
43.4,46.627,51.955,25.08,1.5,1.5,14,2,-0.007,0.0,0,0
43.6,46.632,51.955,25.117,1.5,1.5,14,2,0.005,0.0,0,0
43.8,46.633,51.946,25.159,1.5,1.5,14,2,0.001,0.0,0,0
44.0,46.626,51.93,25.103,1.5,1.5,14,2,-0.007,0.0,0,0
44.2,46.624,51.923,25.021,1.5,1.5,14,2,-0.001,0.0,0,0
44.4,46.618,51.915,24.993,1.5,1.5,14,2,-0.006,0.0,0,0
44.6,46.615,51.908,24.906,1.5,1.5,14,2,-0.004,0.0,0,0
44.8,46.606,51.909,24.897,1.5,1.5,14,2,-0.008,0.0,0,0
45.0,46.607,51.9,24.682,1.5,1.5,14,2,0.001,0.0,0,0
45.2,46.609,51.9,24.63,1.5,1.5,14,2,0.002,0.0,0,0
45.4,46.618,51.911,24.515,1.5,1.5,14,2,0.009,0.0,0,0
45.6,46.631,51.912,24.409,1.5,1.5,14,2,0.013,0.0,0,0
45.8,46.624,51.918,24.373,1.5,1.5,14,2,-0.006,0.0,0,0
46.0,46.627,51.916,24.174,1.5,1.5,14,2,0.003,0.0,0,0
46.2,46.629,51.922,23.997,1.5,1.5,14,2,0.002,0.0,0,0
46.4,46.622,51.915,24.006,1.5,1.5,14,2,-0.007,0.0,0,0
46.6,46.627,51.922,24.058,1.5,1.5,14,2,0.005,0.0,0,0
46.8,46.619,51.926,24.128,1.5,1.5,14,2,-0.008,0.0,0,0
