fix_time,mean_snr,max_snr,var_snr,hdop,pdop,tracked_satellites,fix_quality,delta_mean_snr,rolling_var_snr,spoof_flag_raw,known_spoof_window
24.6,46.717,52.226,25.976,1.5,1.5,14,2,0.0,0.0,0,0
24.8,46.705,52.227,26.315,1.5,1.5,14,2,-0.012,0.0,0,0
25.0,46.697,52.218,26.342,1.5,1.5,14,2,-0.009,0.0,0,0
25.2,46.699,52.236,26.504,1.5,1.5,14,2,0.002,0.0,0,0
25.4,46.698,52.233,26.399,1.5,1.5,14,2,-0.001,0.0,0,0
25.6,46.695,52.239,26.599,1.5,1.5,14,2,-0.003,0.0,0,0
25.8,46.691,52.234,26.408,1.5,1.5,14,2,-0.005,0.0,0,0
26.0,46.697,52.236,26.347,1.5,1.5,14,2,0.007,0.0,0,0
26.2,46.712,52.237,26.206,1.5,1.5,14,2,0.015,0.0,0,0
26.4,46.711,52.234,26.074,1.5,1.5,14,2,-0.001,0.0,0,0
26.6,46.707,52.237,26.128,1.5,1.5,14,2,-0.004,0.0,0,0
26.8,46.721,52.227,26.057,1.5,1.5,14,2,0.014,0.0,0,0
27.0,46.719,52.226,26.072,1.5,1.5,14,2,-0.002,0.0,0,0
27.2,46.711,52.229,26.189,1.5,1.5,14,2,-0.008,0.0,0,0
27.4,46.711,52.226,26.096,1.5,1.5,14,2,0.0,0.0,0,0
27.6,46.71,52.23,26.123,1.5,1.5,14,2,-0.002,0.0,0,0
27.8,46.725,52.228,25.924,1.5,1.5,14,2,0.016,0.0,0,0
28.0,46.719,52.213,25.945,1.5,1.5,14,2,-0.007,0.0,0,0
28.2,46.718,52.21,26.011,1.5,1.5,14,2,-0.001,0.0,0,0
28.4,46.71,52.198,26.083,1.5,1.5,14,2,-0.008,0.0,0,0
28.6,46.708,52.199,26.111,1.5,1.5,14,2,-0.002,0.0,0,0
28.8,46.704,52.216,26.134,1.5,1.5,14,2,-0.005,0.0,0,0
29.0,46.692,52.201,26.088,1.5,1.5,14,2,-0.012,0.0,0,0
29.2,46.674,52.185,26.251,1.5,1.5,14,2,-0.017,0.0,0,0
29.4,46.664,52.19,26.343,1.5,1.5,14,2,-0.01,0.0,0,0
29.6,46.658,52.177,26.353,1.5,1.5,14,2,-0.006,0.001,0,0
29.8,46.662,52.17,26.261,1.5,1.5,14,2,0.004,0.001,0,0
30.0,46.642,52.173,26.43,1.5,1.5,14,2,-0.02,0.001,0,0
30.2,46.633,52.173,26.496,1.5,1.5,14,2,-0.009,0.001,0,0
30.4,46.628,52.171,26.533,1.5,1.5,14,2,-0.004,0.001,0,0
30.6,46.632,52.163,26.421,1.5,1.5,14,2,0.004,0.001,0,0
30.8,46.638,52.162,26.24,1.5,1.5,14,2,0.006,0.0,0,0
31.0,46.653,52.163,26.101,1.5,1.5,14,2,0.015,0.0,0,0
31.2,46.641,52.143,25.929,1.5,1.5,14,2,-0.012,0.0,0,0
31.4,46.649,52.137,25.833,1.5,1.5,14,2,0.008,0.0,0,0
31.6,46.65,52.105,25.65,1.5,1.5,14,2,0.001,0.0,0,0
31.8,46.641,52.097,25.502,1.5,1.5,14,2,-0.009,0.0,0,0
32.0,46.65,52.079,25.413,1.5,1.5,14,2,0.009,0.0,0,0
32.2,46.663,52.054,25.072,1.5,1.5,14,2,0.012,0.0,0,0
32.4,46.678,52.044,24.831,1.5,1.5,14,2,0.016,0.0,0,0
